MAKE,FUELTYPE,ASPIRE,DOORS,BBODY,DRIVE,CYLINDERS,HP,RPM,MPG-CITY,MPG-HWY,PRICE
subaru,gas,std,two,hatchback,fwd,four,69,4900,31,36,5118
chevrolet,gas,std,two,hatchback,fwd,three,48,5100,47,53,5195
mazda,gas,std,two,hatchback,fwd,four,68,5000,30,31,5348
toyota,gas,std,two,hatchback,fwd,four,62,4800,35,39,5389
mitsubishi,gas,std,two,hatchback,fwd,four,68,5500,37,41,5399
honda,gas,std,two,hatchback,fwd,four,60,5500,38,42,5399
nissan,gas,std,two,sedan,fwd,four,69,5200,31,37,5499
dodge,gas,std,two,hatchback,fwd,four,68,5500,37,41,5572
plymouth,gas,std,two,hatchback,fwd,four,68,5500,37,41,5572
mazda,gas,std,two,hatchback,fwd,four,68,5000,31,38,6095
mitsubishi,gas,std,two,hatchback,fwd,four,68,5500,31,38,6189
dodge,gas,std,four,hatchback,fwd,four,68,5500,31,38,6229
plymouth,gas,std,four,hatchback,fwd,four,68,5500,31,38,6229
chevrolet,gas,std,two,hatchback,fwd,four,70,5400,38,43,6295
toyota,gas,std,two,hatchback,fwd,four,62,4800,31,38,6338
dodge,gas,std,two,hatchback,fwd,four,68,5500,31,38,6377
honda,gas,std,four,hatchback,fwd,four,58,4800,49,54,6479
toyota,gas,std,two,hatchback,fwd,four,62,6800,31,38,6488
honda,gas,std,two,hatchback,fwd,four,76,6000,30,34,6529
chevrolet,gas,std,two,sedan,fwd,four,70,5400,38,43,6575
nissan,gas,std,two,sedan,fwd,four,69,5200,31,37,6649
mitsubishi,gas,std,two,hatchback,fwd,four,68,5500,31,38,6669
